num,brewery,state,name,abv,style,desc,section
105.0,Impi Brewers,WA,Black Mamba - Imperial Black Saison,12.0,Saison/Farmhouse Ale,"Rich black in colour like the mouth of a black mamba, this Imperial Saison is the perfect beer for a cold winter's day when not quite sure what you're in the mood for. With underlying complexity that keeps you coming back for more, you can expect flavours of, ripe banana, espresso, and a touch on treacle all supported by the spicy flavors of yeast.",6
106.0,Local Brewing Co,VIC,Grand Slam' Strawberries & Cream Imperial Sour,7.4,Kettle Sour,"Nothing screams Wim-beer-don like sipping on strawberry champagne, we don't have the champagne, but we do have strawberries, and lots of them. This strawberries and cream imperial sour will serve ace's for days with a taste for both those sweet and sour moments on the court.",6
107.0,Garage Project,NZ,Big Feelings,6.5,Hazy IPA,"Big flavour, Big Feelings. Luscious white, yellow gold hazy IPA, brewed with pale malts, wheat and oats, a generous addition of Yuzu and a touch of New Zealand sea salt, creating a beer with a huge citrus aroma and an outrageously juicy, quenching mouthfeel. So big! Giving you those Big Feelings.",6
108.0,Moffat Beach Brewing Co,QLD,The Notorious F.I.G.,5.0,UK Brown Ale,"For one festival only, presenting The Notorious F.I.G. Sweet decadent rhymes of caramelised fig go toe to toe with hazelnut, toffee and sticky date vibes, all smoothed out with earthy English hops.",6
109.0,Warrandyte Brewing Co.,VIC,Flat White Oatmeal stout,5.5,Oatmeal Stout,"In collaboration with one of our favorite cafes ""Now & not yet' located in Warrandyte, this beer is brewed using their in house roasted beans & gives back to this non-for profit cafe that looks after our local community. Full bodied Stout with subtle roasted espresso aroma, complimented with a subtle sweetness.",6
110.0,On Point Brewery,VIC,Hellhound,8.2,Baltic Porter,"This Baltic Porter has been ages in Whiskey barrels for 3 months allowing it to develop its complex flavours. Dried Raisin and toffee notes on the nose give way to a rich malty sweetness with tones of tobacco, leather and oak upon drinking. Finishing with a hint of vanilla.",6
111.0,10 Toes brewing,QLD,Lord Barista,9.0,Imperial Stout,"Imperial Stout infused with the irresistible blend of rich coffee and creamy macadamia nuts. Indulge in its opulent depths as dark roasted malts intertwine with the luxurious sweetness of macadamia nut liqueur, creating a symphony of decadent Flavors that captivate the palate.",6
112.0,Stoic Brewing,NSW,Bacon Me Crazy,7.0,American IPA,"A bold brew where Smoky bacon aroma dances from the glass and is balanced with a citrus hop profile of sun kissed grapefruit and, tangerine. A subtle malt backbone provides a smooth foundation, while the smoky bacon profile gently smolder in the background, adding depth and intrigue. The finish is crisp and refreshing, with lingering citrus zest and a hint of peppery spice",6
113.0,The Zythologist,VIC,Beer-ria taco lager,5.0,Rauchbier,"Capturing the flavours of one of the most trendy mexican foods, we brewed a Birria inspired Rauchbier. Crushed up corn tortilla shells, roasted guajillo chillies, mexican oregano, cinnamon, cilantro and beef broth were calculatively added to a slightly smokey lager to create this unmistakably Birria taco -like lager!",6
114.0,"Co-Conspirators Brewing ",VIC,A boy named Tiramisu,8.5,Pastry Stout,"The perfect irresistible pick me up with this decadent coffee-flavoured Italian dessert. The darkly robust presence of espresso and luscious rich chocolate, balanced with sweetness in this delicious pasty stout.",6
115.0,Moon Dog,VIC,Raspberry Sherbet Bomb,6.5,Specialty Beer,"This Sherbet Bomb has been made from a mixed culture sour base, loaded with raspberries and dosed with Brazilian Electric Daisies. The combination of zingy-ness, sweet raspberry mouthfeel and tongue-tingling zippiness makes this beer taste just like a Raspberry Sherbet Bomb. Zingy acidity with sweet raspberry fruit and buzz button extract for mouth tingle",6
116.0,Monkey Shoulder,Scotland,Ginger Monkey,6.0,Cocktail,"Refreshing ginger, vanilla, spiced oak, hints of orange",6
117.0,Matso's,WA,Matso's Piña Colada,6.0,Cocktail,"Tropical bliss in a glass! This 6% ABV piña colada dances with creamy coconut and ripe pineapple, balanced perfectly with a hint of rum. Sip, and let the island breeze whisk you away.",6
118.0,Eddies Cider,VIC,Eddies Crisp Apple,4.5,Traditional Cider,"Nice colour and depth. Soft and delicate apple puree, interesting spiciness stewed fruit aromatics. Mild nose but aromas feel authentic. Good flavours of ripe apple, pear, and stone fruit. Nice balance of freshness in fruit sweetness and mouth feel in acid line and length. Well-rounded and very well-balanced. Some bitter and tannin complexity integrated well.",6
119.0,Spreyton Cider Co,TAS,Cloudy Apple & Ginger,4.5,Specialty Cider,"Our cloudy apple and ginger cider is a refreshing and flavourful beverage that combines the natural sweetness of apples with the spicy kick of ginger. The combination of cloudiness, apple sweetness, and ginger spiciness creates a well-balanced cider that is both invigorating and comforting.",6
